date,fishoil_price_peru,fish_price_global,rapeseedoil_price_global,fishmeal_price_peru,peanutoil_price_global,soybeanoil_price_global,sunfloweroil_price_global,temperature_peru,precipitation_peru,fish_production_peru,fish_human_consumption_peru,fish_industrial_consumption_peru,gdp,fishmeal_price_hamburg,fishoil_export_peru,fishoil_fob_peru,fishoil_utilization_indicators,fishing_hours_peru
2018-08-01,1832.5,6.66,853.67,1475.4,1477.1,761.82,763.23,18.18,86.52,6.57,24.52,1.91,52.91,1475.0,22.65,41.51,0.08,0.0
2018-07-01,1417.1,6.98,848.61,1496.33,1477.1,780.45,780.05,18.39,76.7,6.71,27.92,62.09,55.36,1475.0,44.29,62.77,3.36,0.0
2018-06-01,1397.9,7.89,838.02,1494.49,1461.87,788.57,775.0,17.95,86.75,5.32,28.22,567.3,121.0,1475.0,23.58,32.96,36.36,0.0
2018-05-01,2713.9,9.0,811.49,1513.28,1444.03,793.25,801.32,19.7,112.37,6.55,30.89,1646.51,257.82,1496.74,3.79,10.27,100.0,0.0
2018-04-01,2609.8,8.88,793.31,1577.89,1444.03,831.85,799.33,20.2,136.83,7.79,32.31,1096.11,194.71,1576.19,13.59,35.47,64.31,0.0
2018-03-01,2768.6,8.51,800.24,1604.08,1435.63,836.68,800.91,20.28,191.18,7.03,37.33,23.09,73.11,1600.0,8.49,23.51,1.15,0.0
2018-02-01,2864.9,7.28,827.48,1605.89,1433.0,843.56,806.0,20.29,174.74,7.06,36.52,76.95,75.83,1600.0,16.31,46.73,3.84,0.0
2018-01-01,3072.6,7.19,848.38,1596.54,1433.0,870.5,799.04,20.11,183.47,5.71,38.77,688.41,150.9,1576.09,2.28,7.01,40.04,0.0
2017-12-01,2416.9,6.32,901.97,1476.7,1510.17,867.19,800.76,20.2,156.72,3.8,36.8,0.0,56.08,1504.76,2.4,5.8,0.0,0.0
2017-11-01,2567.5,6.24,962.98,1385.62,1502.29,886.77,809.86,20.19,143.57,3.4,35.95,6.36,56.53,1392.05,5.18,13.3,0.34,0.0
2017-10-01,2049.3,6.97,897.25,1379.14,1481.11,880.6,804.82,20.13,126.02,3.7,30.89,0.55,44.87,1375.0,11.15,22.85,0.03,0.0
2017-09-01,1839.0,7.03,872.87,1406.1,1504.65,889.44,822.24,19.39,98.07,4.3,27.04,0.06,35.28,1375.0,16.37,30.11,0.1,0.0
2017-08-01,1911.7,7.46,875.36,1386.11,1510.17,861.72,815.74,18.88,80.7,4.2,29.19,1.68,39.57,1303.26,16.79,32.09,0.16,0.0
2017-07-01,1519.8,8.04,905.99,1355.22,1496.94,835.6,793.0,18.58,71.26,4.1,29.51,180.94,61.42,1250.0,28.99,44.06,10.11,0.0
2017-06-01,1669.2,8.1,847.47,1332.77,1463.07,832.95,794.36,18.86,91.76,4.3,31.79,668.46,128.23,1279.55,17.39,29.03,38.69,0.0
2017-05-01,2196.3,8.02,842.05,1330.3,1453.05,825.06,795.0,19.93,118.47,4.2,33.67,1215.36,197.74,1300.0,11.09,24.35,70.43,0.0
2017-04-01,1706.3,7.44,839.33,1297.58,1421.4,794.04,797.67,20.57,151.86,4.0,37.13,382.66,101.33,1300.0,27.29,46.57,21.33,0.0
2017-03-01,2577.3,7.2,847.32,1305.67,1398.98,814.94,835.17,21.08,210.52,3.8,37.85,59.74,68.16,1300.0,9.91,25.53,3.19,0.0
2017-02-01,2577.2,7.88,874.38,1350.87,1359.9,839.6,873.0,21.01,188.64,3.5,38.0,34.0,64.45,1352.5,9.68,24.96,1.88,0.0
2017-01-01,2098.0,8.64,890.82,1397.52,1427.78,876.85,873.0,20.99,187.14,3.7,35.35,615.68,130.79,1490.0,14.84,31.14,35.81,0.0
2016-12-01,4192.4,7.86,930.43,1423.35,1439.3,916.7,873.0,20.62,164.92,4.5,34.78,937.92,169.28,1540.91,3.2,13.44,55.4,0.0
2016-11-01,3337.0,7.32,918.26,1459.81,1433.0,885.11,873.0,20.62,81.72,4.3,35.35,428.6,104.01,1545.46,2.95,9.85,25.3,0.0
2016-10-01,2448.7,7.21,914.14,1487.98,1433.0,861.26,873.0,20.4,127.05,4.2,36.02,0.0,51.24,1575.0,11.27,27.6,0.0,0.0
2016-09-01,2529.8,6.67,849.65,1536.8,1433.0,837.21,865.73,19.54,98.7,4.2,34.03,0.0,50.37,1595.46,11.33,28.66,0.0,0.0
2016-08-01,2842.9,7.06,817.52,1539.99,1433.0,824.42,830.35,19.28,69.05,3.8,36.44,28.27,66.49,1632.61,9.47,26.93,1.63,0.0
2016-07-01,3131.8,8.01,767.83,1493.28,1415.37,796.67,832.86,18.82,104.44,4.1,36.81,618.87,121.45,1600.0,2.79,8.74,36.46,0.0
2016-06-01,3261.8,7.67,793.48,1517.12,1365.86,799.91,860.23,18.66,69.65,3.9,35.49,369.12,84.35,1663.64,5.72,18.66,21.51,0.0
2016-05-01,3173.4,7.27,805.59,1500.81,1322.77,795.64,881.0,19.77,97.48,4.3,37.61,63.76,51.98,1577.27,6.58,20.88,3.52,0.0
2016-04-01,2698.6,7.11,808.51,1474.33,1314.38,794.13,875.95,20.54,153.15,4.2,39.22,19.52,50.41,1497.62,13.7,36.98,0.99,0.0
2016-03-01,2679.0,6.91,766.26,1443.58,1300.73,765.61,859.19,21.15,203.64,4.25,41.77,0.0,49.64,1464.13,14.17,37.97,0.0,0.0
2016-02-01,3212.6,6.14,779.88,1511.99,1317.26,767.24,898.19,21.38,290.86,4.2,37.42,0.21,49.35,1526.19,6.5,20.87,0.02,0.0
2016-01-01,2684.1,6.45,781.35,1498.6,1359.9,736.03,885.35,21.79,95.85,3.8,39.57,266.47,92.0,1617.14,7.36,19.76,15.48,0.0
2015-12-01,3760.7,5.79,820.94,1536.52,1446.03,765.7,898.18,21.06,150.77,3.5,39.27,514.41,120.47,1706.09,4.4,16.56,29.35,0.0
2015-11-01,2750.8,5.02,799.62,1517.92,1413.16,727.34,915.24,21.02,110.81,3.2,32.85,301.62,84.37,1730.95,5.2,14.3,16.18,0.0
2015-10-01,3195.2,5.02,809.13,1520.37,1399.94,743.3,961.59,20.71,81.17,3.5,33.69,0.5,49.54,1611.36,5.28,16.87,0.04,0.0
2015-09-01,2260.4,5.03,771.69,1471.88,1399.94,720.4,896.82,20.82,73.74,3.4,31.02,0.51,41.68,1531.82,21.36,48.29,0.02,0.0
2015-08-01,2116.1,5.45,753.56,1466.01,1392.06,728.33,894.75,19.75,74.89,3.3,32.49,3.98,40.15,1492.86,24.84,52.57,0.22,0.0
2015-07-01,2338.5,5.29,809.98,1440.43,1388.91,752.32,917.39,18.93,100.21,3.7,32.1,129.85,59.76,1501.09,15.73,36.8,7.21,0.0
2015-06-01,2311.3,5.16,841.79,1547.16,1365.86,788.21,927.95,19.61,77.93,3.8,30.9,334.0,84.72,1590.91,14.88,34.38,19.14,0.0
2015-05-01,3354.9,5.12,769.95,1619.84,1344.82,785.13,916.05,20.11,141.71,3.6,31.61,937.64,157.45,1676.19,2.66,8.92,53.47,0.0
2015-04-01,3134.1,5.12,747.72,1569.57,1344.82,747.74,833.5,20.21,182.29,3.9,37.24,1375.83,220.27,1863.64,3.31,10.38,77.22,0.0
